SUBJECT,TEXT,OSPAN,SSPAN,COM1,COM2,COM3,INT1,INT2,INT3,FAM1,FAM2,FAM3,VOL,INV
97,Netz,0.48921131,0.611746032,3,1,2,2,2,2,2,2,2,0,0.666666667
97,Wind,0.48921131,0.611746032,1,0,3,1,1,1,0,0,0,0,0.4
97,Spek,0.48921131,0.611746032,3,2,3,1,1,1,1,1,1,0,0.4
98,Netz,0.820175439,0.870588235,3,3,2,3,3,2,1,2,0,0,0.25
98,Wind,0.820175439,0.870588235,3,2,2,1,1,1,1,0,0,0,0.5
98,Spek,0.820175439,0.870588235,3,2,3,3,2,2,1,0,1,0.25,0
99,Netz,0.909444444,0.561904762,2,3,2,2,1,2,0,0,0,0.25,0.25
99,Wind,0.909444444,0.561904762,1,2,1,1,1,1,1,1,0,0.4,0.2
99,Spek,0.909444444,0.561904762,2,1,2,1,0,0,0,1,1,0.5,0.25
100,Netz,0.862044818,0.676190476,2,2,2,2,1,1,0,1,1,0,0.4
100,Wind,0.862044818,0.676190476,1,0,2,3,2,0,2,2,2,0.166666667,0.166666667
100,Spek,0.862044818,0.676190476,1,3,3,2,2,1,1,2,2,0,0.4
101,Netz,0.897321429,0.864145658,3,3,3,3,3,3,1,2,2,0,0
101,Wind,0.897321429,0.864145658,2,2,2,1,0,0,3,2,3,0.6,0
101,Spek,0.897321429,0.864145658,2,2,3,2,2,1,2,3,2,0,0.2
102,Netz,0.642195767,0.554761905,2,2,3,3,3,3,1,2,1,0,0.25
102,Wind,0.642195767,0.554761905,2,2,2,2,1,1,3,3,2,0,0.25
102,Spek,0.642195767,0.554761905,2,3,0,1,1,2,1,3,1,0,0.5
103,Netz,0.879880952,0.6,3,2,3,1,2,2,3,2,3,0.333333333,0
103,Wind,0.879880952,0.6,1,2,0,2,2,2,1,2,1,0,0.75
103,Spek,0.879880952,0.6,2,3,3,3,2,3,0,0,1,0,0.25
104,Netz,0.960714286,1,3,3,2,2,2,1,1,1,1,0,0.2
104,Wind,0.960714286,1,1,0,3,2,1,1,1,3,2,0,0.75
104,Spek,0.960714286,1,2,2,2,1,0,0,1,1,1,0.4,0
105,Netz,0.721626984,0.648809524,2,2,2,3,3,2,2,2,2,0,0
105,Wind,0.721626984,0.648809524,1,2,2,2,2,2,2,1,1,0.25,0.25
105,Spek,0.721626984,0.648809524,3,3,3,2,2,2,2,2,1,0,0
106,Netz,0.734438776,0.45970696,0,1,1,3,3,1,3,3,2,0,0.75
106,Wind,0.734438776,0.45970696,1,0,2,0,1,0,0,1,0,0,0.2
106,Spek,0.734438776,0.45970696,1,0,2,2,1,1,1,2,1,0,0.5
107,Netz,0.784722222,0.482857143,1,3,3,3,2,2,2,2,2,0,0
107,Wind,0.784722222,0.482857143,1,1,2,1,1,3,2,1,2,0,0
107,Spek,0.784722222,0.482857143,2,2,1,1,1,1,1,1,1,0.333333333,0.333333333
108,Netz,0.331666667,0.305952381,1,1,0,2,3,2,2,2,1,0.25,0.25
108,Wind,0.331666667,0.305952381,2,2,1,0,1,0,0,0,0,999999,999999
108,Spek,0.331666667,0.305952381,2,2,1,0,1,0,1,0,0,0.4,0.2
109,Netz,0.807017544,0.575925926,2,3,2,2,3,2,1,2,1,0,0
109,Wind,0.807017544,0.575925926,3,3,2,0,0,0,1,1,1,0,0.428571429
109,Spek,0.807017544,0.575925926,3,2,3,2,1,2,1,1,1,0.166666667,0.166666667
110,Netz,0.787301587,0.703479853,3,1,2,3,2,2,0,0,1,0,0
110,Wind,0.787301587,0.703479853,2,1,1,2,1,1,1,1,1,0,0.5
110,Spek,0.787301587,0.703479853,2,1,2,3,3,2,2,2,2,0,0
111,Netz,0.608928571,0.455494505,2,3,2,2,3,1,1,2,1,0,0.2
111,Wind,0.608928571,0.455494505,2,1,2,0,0,2,0,2,0,0.2,0.2
